day_of_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,0.196866,0.171685,0.1089525,0.0835575,0.07893,0.1944185,0.3214965,0.4861405,0.587364,0.528104,0.408549,0.6009145,0.7476715,0.5749595,0.572168,0.5747625,0.643644,0.867894,0.7706685,0.813823,0.828652,0.692027,0.526517,0.422972
Tuesday,0.2240615,0.1390095,0.0794925,0.1098785,0.090194,0.2094855,0.3610545,0.4680725,0.6907405,0.4706015,0.5439555,0.6058945,0.6445855,0.558921,0.508384,0.6622535,0.6684195,0.7053745,0.857625,0.978978,0.889197,0.7144625,0.535153,0.3276455
Wednesday,0.170537,0.182216,0.1000185,0.080034,0.0534555,0.17072,0.313952,0.5504135,0.79096,0.5610545,0.5618945,0.584583,0.698571,0.598895,0.575238,0.6863385,0.6408675,0.730792,0.809263,1.029256,0.940114,0.774449,0.638937,0.4700465
Thursday,0.160232,0.115466,0.111411,0.113909,0.088131,0.1516545,0.3354245,0.5809045,0.6035345,0.5723,0.5372445,0.713631,0.793067,0.6133035,0.567831,0.703265,0.672425,0.8259675,0.926583,0.954789,0.925568,0.8677,0.653026,0.397285
Friday,0.3069415,0.1382125,0.098717,0.105753,0.111562,0.1441565,0.4495065,0.6165475,0.8246625,0.6929625,0.5411715,0.7335655,0.7973415,0.7452255,0.636059,0.631549,0.748482,0.9541625,1.2081545,1.1405245,1.183501,0.8282325,0.688351,0.562745
Saturday,0.3555075,0.2057765,0.195386,0.089014,0.148802,0.2636885,0.483181,0.677675,0.879475,0.745713,0.7415265,0.9214265,1.0991925,0.931185,0.8257975,0.87885,0.891085,1.1401255,1.3155975,1.5734685,1.235416,1.045298,0.8443845,0.7155515
Sunday,0.3241895,0.145534,0.1045825,0.10059,0.179107,0.3079565,0.4682525,0.8294145,0.8857905,0.8364115,0.787292,0.902676,1.0039955,0.804707,0.984277,0.8623795,0.9028255,1.121792,1.174736,1.2795225,1.180272,1.098375,0.9220665,0.52355
